"PolicyNo","Policy_Company","Policy_Installment_Term","Policy_Billing_Code","Policy_Method_Of_Payment","Policy_Reinstatement_Fee_Indicator","Policy_Zip_Code_Garaging_Location","Vehicle_Territory","Vehicle_Make_Year","Vehicle_Make_Description","Vehicle_Performance","Vehicle_New_Cost_Amount","Vehicle_Symbol","Vehicle_Number_Of_Drivers_Assigned","Vehicle_Usage","Vehicle_Miles_To_Work","Vehicle_Days_Per_Week_Driven","Vehicle_Annual_Miles","Vehicle_Anti_Theft_Device","Vehicle_Passive_Restraint","Vehicle_Age_In_Years","Vehicle_Med_Pay_Limit","Vehicle_Bodily_Injury_Limit","Vehicle_Physical_Damage_Limit","Vehicle_Comprehensive_Coverage_Indicator","Vehicle_Comprehensive_Coverage_Limit","Vehicle_Collision_Coverage_Indicator","Vehicle_Collision_Coverage_Deductible","Driver_Total","Driver_Total_Male","Driver_Total_Female","Driver_Total_Single","Driver_Total_Married","Driver_Total_Related_To_Insured_Self","Driver_Total_Related_To_Insured_Spouse","Driver_Total_Related_To_Insured_Child","Driver_Total_Licensed_In_State","Driver_Minimum_Age","Driver_Maximum_Age","Driver_Total_Teenager_Age_15_19","Driver_Total_College_Ages_20_23","Driver_Total_Young_Adult_Ages_24_29","Driver_Total_Low_Middle_Adult_Ages_30_39","Driver_Total_Middle_Adult_Ages_40_49","Driver_Total_Adult_Ages_50_64","Driver_Total_Senior_Ages_65_69","Driver_Total_Upper_Senior_Ages_70_plus","Vehicle_Youthful_Driver_Indicator","Vehicle_Youthful_Driver_Training_Code","Vehicle_Youthful_Good_Student_Code","Vehicle_Driver_Points","Vehicle_Safe_Driver_Discount_Indicator","EEA_Liability_Coverage_Only_Indicator","EEA_Multi_Auto_Policies_Indicator","EEA_Policy_Zip_Code_3","EEA_Policy_Tenure","EEA_Agency_Type","EEA_Packaged_Policy_Indicator","EEA_Full_Coverage_Indicator","EEA_Prior_Bodily_Injury_Limit","EEA_PolicyYear","SYS_Renewed","SYS_New_Business","Annual_Premium","Claim_Count","Loss_Amount","Frequency","Severity","Loss_Ratio"
"164562033","Standard ","6","Direct Billed to Insured","Pre-paid","N","42602","31","1990","DODG CARAVAN SE  ","Standard","-1","3","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","1000","25-50  ","25000","N","-1","N","-1","1","0","1","0","1","0","1","0","1","61","61","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","426","16.1","Hybrid","N","N","20-50","2006","Y","N","111.3","0","0.0","0.0","0.0","0.0"
"165119133","Standard ","6","Direct Billed to Insured","Pre-paid","N","42857","35","2001","BUIK REG LS-LSE  ","Standard","-1","10","1","Pleasure","-1","5","Unknown","Not Applicable","Y","6","1000","25-50  ","25000","N","-1","Y","250","1","0","1","0","1","0","1","0","1","55","55","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","N","N","Y","428","16.5","Standard","Y","Y","20-50","2006","Y","N","408.1","0","0.0","0.0","0.0","0.0"
"165166239","Standard ","6","Direct Billed to Insured","Pre-paid","N","42980","30","1977","FORD       TRUCK ","Standard","-1","5","99","Farm    ","-1","5","Unknown","Not Applicable","N","9","1000","250-500","100000","N","-1","N","-1","1","1","0","0","1","0","0","0","1","47","47","0","0","0","0","1","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","429","23.0","Non-standard","N","N","100-400","2006","Y","N","125.08","0","0.0","0.0","0.0","0.0"
"165198832","Standard ","6","Direct Billed to Insured","Installment","N","43050","35","2002","TYTA TUNDRA SR5  ","Standard","-1","15","99","Pleasure","-1","5","Unknown","Not Applicable","Y","5","1000","100-300","50000","N","-1","Y","250","1","1","0","0","1","1","0","0","1","37","37","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","430","16.0","Hybrid","Y","Y","100-200","2006","Y","N","554.38","0","0.0","0.0","0.0","0.0"
"165319534","Standard ","6","Direct Billed to Insured","Pre-paid","N","42496","35","1992","CHEV CAMARO RS   ","Sports","-1","16","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","2000","25-50  ","25000","N","-1","N","-1","2","1","1","0","2","1","1","0","2","48","53","0","0","0","0","1","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","424","16.5","Non-standard","N","N","20-50","2006","Y","N","129.32","0","0.0","0.0","0.0","0.0"
"165355034","Standard ","6","Direct Billed to Insured","Installment","N","42361","30","1992","FORD RANGER      ","Standard","-1","5","99","Work    ","15","5","Unknown","Not Applicable","N","9","1000","25-50  ","25000","N","-1","Y","500","1","1","0","0","1","1","0","0","1","39","39","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","423","16.5","Hybrid","Y","Y","20-50","2006","Y","N","279.84","0","0.0","0.0","0.0","0.0"
"165386232","Standard ","6","Direct Billed to Insured","Pre-paid","N","42357","37","1955","CHEV BELAIR 2DR  ","Standard","-1","3","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","1000","50-100 ","50000","N","-1","N","-1","1","1","0","0","1","1","0","0","1","55","55","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","423","16.0","Hybrid","N","N","40-100 ","2006","N","N","142.04","0","0.0","0.0","0.0","0.0"
"165708632","Preferred","6","Direct Billed to Insured","Pre-paid","N","42916","35","1972","CHEV C-10 P-U    ","Standard","-1","4","1","Work    ","1","5","Unknown","Not Applicable","N","9","1000","25-50  ","25000","N","-1","Y","500","1","1","0","0","1","1","0","0","1","50","50","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","429","16.0","Standard","N","Y","20-50","2006","Y","N","248.04","0","0.0","0.0","0.0","0.0"
"165951132","Standard ","6","Direct Billed to Insured","Pre-paid","N","43155","31","1989","CHEV PICKUP1500  ","Standard","-1","11","1","Work    ","22","5","Unknown","Not Applicable","N","9","5000","25-50  ","25000","N","-1","N","-1","2","1","1","0","2","1","1","0","2","53","56","0","0","0","0","0","2","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","431","16.0","Non-standard","Y","N","20-50","2006","Y","N","210.94","0","0.0","0.0","0.0","0.0"
"165971032","Standard ","6","Direct Billed to Insured","Installment","N","43046","35","2003","HOND ACCORD LX   ","Standard","-1","11","1","Work    ","14","5","Unknown","Passive Disabling-Vehicle Recovery","Y","4","1000","100-300","100000","N","-1","Y","500","1","0","1","0","1","1","0","0","1","36","36","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","430","16.0","Standard","N","Y","100-200","2006","Y","N","432.48","1","2770.88","2.0","2770.88","6.41"
"165981340","Standard ","6","Direct Billed to Insured","Pre-paid","N","Unknown","31","1972","CHEV TRUCK       ","Standard","-1","4","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","1000","100-300","50000","N","-1","N","-1","1","0","1","0","0","1","0","0","1","83","83","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","Unknown","46.9","Hybrid","N","N","100-200","2006","Y","N","125.08","0","0.0","0.0","0.0","0.0"
"166591137","Standard ","6","Direct Billed to Insured","Installment","Y","43385","31","1996","CHEV PICKUP1500  ","Standard","-1","12","99","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","9","-1","100-300","50000","N","-1","N","-1","1","1","0","0","1","1","0","0","1","36","36","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","433","16.4","Hybrid","Y","N","100-200","2006","Y","N","142.04","0","0.0","0.0","0.0","0.0"
"166750740","Standard ","6","Direct Billed to Insured","Pre-paid","N","44139","31","2002","MERC SABLE GS    ","Standard","-1","8","1","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","5","1000","50-100 ","35000","N","-1","Y","500","1","0","1","0","1","0","1","0","1","80","80","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","441","44.5","Preferred","Y","Y","40-100 ","2006","Y","N","295.74","0","0.0","0.0","0.0","0.0"
"166803533","Standard ","6","Direct Billed to Insured","Pre-paid","Y","42893","30","1987","CHEV R10         ","Standard","-1","8","99","Work    ","7","5","Unknown","Not Applicable","N","9","1000","25-50  ","25000","N","-1","N","-1","1","1","0","0","1","1","0","0","1","39","39","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","428","16.3","Preferred","N","N","20-50","2006","Y","N","147.34","0","0.0","0.0","0.0","0.0"
